       Value   Percentile   TotalCount 1/(1-Percentile)
     3087.00     0.000000       514690         1.00
     3103.00     0.000000       515000         1.00
     3119.00     0.000000       515299         1.00
     3135.00     0.000000       515597         1.00
     3151.00     0.000000       515890         1.00
     3167.00     0.000000       516168         1.00
     3183.00     0.000000       516445         1.00
     3199.00     0.000000       516771         1.00
     3215.00     0.000000       517071         1.00
     3231.00     0.000000       517357         1.00
     3247.00     0.000000       517647         1.00
     3263.00     0.000000       517945         1.00
     3279.00     0.000000       518265         1.00
     3295.00     0.000000       518548         1.00
     3311.00     0.000000       518843         1.00
     3327.00     0.000000       519125         1.00
     3343.00     0.000000       519425         1.00
     3359.00     0.000000       519742         1.00
     3375.00     0.000000       520060         1.00
     3391.00     0.000000       520355         1.00
     3407.00     0.000000       520652         1.00
     3423.00     0.000000       520960         1.00
     3439.00     0.000000       521250         1.00
     3455.00     0.000000       521538         1.00
     3471.00     0.000000       521847         1.00
     3487.00     0.000000       522170         1.00
     3503.00     0.000000       522495         1.00
     3519.00     0.000000       522790         1.00
     3535.00     0.000000       523099         1.00
     3551.00     0.000000       523407         1.00
     3567.00     0.000000       523745         1.00
     3583.00     0.000000       524096         1.00
     3599.00     0.000000       524426         1.00
     3615.00     0.000000       524774         1.00
     3631.00     0.000000       525096         1.00
     3647.00     0.000000       525403         1.00
     3663.00     0.000000       525731         1.00
     3679.00     0.000000       526052         1.00
     3695.00     0.000000       526383         1.00
     3711.00     0.000000       526711         1.00
     3727.00     0.000000       527031         1.00
     3743.00     0.000000       527333         1.00
     3759.00     0.000000       527648         1.00
     3775.00     0.000000       527948         1.00
     3791.00     0.000000       528262         1.00
     3807.00     0.000000       528573         1.00
     3823.00     0.000000       528874         1.00
